"Auto;"

"Kennzeichen;Modell;Preis;Zulassungsdatum;"

"IL-549IH;Dacia Duster;14.20;29.11.2017;"

"IL-1RGBA;VW Golf;8.99;02.07.2016;"

"IM-17CDI;Tesla Model X;50.00;14.03.2021;"



"Kunde;"

"ID;Name;Email;Geburtsdatum;"

"1;Karl Werner;KarlWerner@hindi.ind;04.04.2002;"

"2;Julie Altfrau;Schifoarerin77@gmx.com;20.11.1977;"

"3;Enrike Plinger;Enrike.plinger@cni.at;31.12.1992;"



"KundeLeihtAuto;"

"Kid;Kennzeichen;Beginndatum;Enddatum;"

"3;IL-549IH;12.03.2022;16.03.2022;"

"1;IM-17CDI;10.03.2022;25.03.2022;"

"2;IL-1RGBA;28.02.2022;12.05.2022;"
